id,Geographic Area Name,Total population,Median age (years),Sex ratio (males per 100 females),Age dependency ratio,Occupied housing units,Owner-occupied housing units,Renter-occupied housing units,Households below poverty level (12 months),Median household income (2018 inflation adjusted),Households receiving food stamps (12 months),Families,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Some other race alone,Hispanic or Latino,white_pop_%,black_pop_%,native_american_pop_%,asian_pop_%,other_race_%,hispanic_pop_%,%_owner_housing,%_rental_housing
1400000US36003950300,"Census Tract 9503, Allegany County, New York",4963,30.5,94.8,60.8,1553,1159,394,212,44515.0,97,1061,4611,131,12,119,41,122,0.929075156155551,0.026395325408019345,0.0024178924037880313,0.023977433004231313,0.008261132379609107,0.024581906105178318,0.7462974887314875,0.25370251126851256
1400000US36003950400,"Census Tract 9504, Allegany County, New York",3746,42.1,109.9,79.6,1453,1223,230,217,49469.0,87,1010,3583,0,0,16,11,12,0.9564869193806728,0.0,0.0,0.004271222637479978,0.0029364655632674853,0.003203416978109984,0.8417068134893324,0.1582931865106676
1400000US36003950500,"Census Tract 9505, Allegany County, New York",3891,45.1,98.6,83.8,1634,1278,356,268,46442.0,134,1074,3829,6,0,0,0,53,0.9840657928553072,0.0015420200462606013,0.0,0.0,0.0,0.013621177075301978,0.7821297429620563,0.2178702570379437
1400000US36003950600,"Census Tract 9506, Allegany County, New York",3616,42.1,99.9,67.0,1579,1153,426,362,39226.0,200,964,3424,104,0,25,7,40,0.9469026548672567,0.028761061946902654,0.0,0.006913716814159292,0.0019358407079646017,0.011061946902654867,0.7302089930335656,0.26979100696643443
1400000US36003950700,"Census Tract 9507, Allegany County, New York",3384,44.8,97.3,53.9,1605,1032,573,271,48906.0,208,887,3266,12,45,6,5,11,0.9651300236406619,0.0035460992907801418,0.013297872340425532,0.0017730496453900709,0.0014775413711583924,0.0032505910165484633,0.6429906542056075,0.35700934579439253
1400000US36003950800,"Census Tract 9508, Allegany County, New York",6187,20.7,118.6,19.7,1179,730,449,265,47260.0,47,662,5362,316,21,258,132,344,0.8666558913851624,0.05107483433004687,0.003394213673832229,0.04170033942136738,0.02133505737837401,0.05560045256182318,0.6191687871077184,0.3808312128922816
1400000US36003950900,"Census Tract 9509, Allegany County, New York",3630,45.9,101.1,76.5,1657,1269,388,191,52891.0,91,956,3597,4,0,21,8,20,0.990909090909091,0.0011019283746556473,0.0,0.005785123966942148,0.0022038567493112946,0.005509641873278237,0.7658418829209415,0.23415811707905854
1400000US36003951000,"Census Tract 9510, Allegany County, New York",3296,44.2,94.7,68.9,1345,1112,233,218,46988.0,96,947,3282,0,0,2,0,0,0.995752427184466,0.0,0.0,0.0006067961165048543,0.0,0.0,0.8267657992565056,0.17323420074349444
1400000US36003951100,"Census Tract 9511, Allegany County, New York",3819,50.5,89.5,80.3,1684,1051,633,255,42879.0,102,1071,3689,67,10,0,24,39,0.9659596753076721,0.017543859649122806,0.002618486514794449,0.0,0.006284367635506678,0.01021209740769835,0.6241092636579573,0.37589073634204273
1400000US36003951200,"Census Tract 9512, Allegany County, New York",4656,42.5,96.8,76.0,1904,1523,381,281,46481.0,180,1271,4544,7,39,28,0,35,0.9759450171821306,0.0015034364261168386,0.008376288659793814,0.006013745704467354,0.0,0.007517182130584193,0.7998949579831933,0.20010504201680673
