"GEO_ID","NAME","H002001","H002002","H002003","H002004","H002005","H002006"
"id","Geographic Area Name","Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file"
"1400000US36059408100","Census Tract 4081, Nassau County, New York","2247","2247","2247","0","0","0"
"1400000US36003951200","Census Tract 9512, Allegany County, New York","2719","0","0","0","2719","0"
"1400000US36095740200","Census Tract 7402, Schoharie County, New York","2690","1764","0","1764","926","0"
"1400000US36101960300","Census Tract 9603, Steuben County, New York","1232","0","0","0","1232","0"
"1400000US36047044100","Census Tract 441, Kings County, New York","1917","1917","1917","0","0","0"
"1400000US36005024400","Census Tract 244, Bronx County, New York","878","878","878","0","0","0"
"1400000US36081114100","Census Tract 1141, Queens County, New York","881","881","881","0","0","0"
"1400000US36103110501","Census Tract 1105.01, Suffolk County, New York","1117","1117","1117","0","0","0"
"1400000US36063023500","Census Tract 235, Niagara County, New York","1252","1252","0","1252","0","0"
"1400000US36065020300","Census Tract 203, Oneida County, New York","913","913","913","0","0","0"
"1400000US36081060600","Census Tract 606, Queens County, New York","475","475","475","0","0","0"
"1400000US36005007700","Census Tract 77, Bronx County, New York","600","600","600","0","0","0"
"1400000US36087011603","Census Tract 116.03, Rockland County, New York","1892","1892","1892","0","0","0"
"1400000US36093033004","Census Tract 330.04, Schenectady County, New York","1302","1302","1302","0","0","0"
"1400000US36059412500","Census Tract 4125, Nassau County, New York","1379","1379","1379","0","0","0"
"1400000US36047078800","Census Tract 788, Kings County, New York","1242","1242","1242","0","0","0"
"1400000US36081066300","Census Tract 663, Queens County, New York","996","996","996","0","0","0"
"1400000US36119006200","Census Tract 62, Westchester County, New York","1918","1918","1918","0","0","0"
"1400000US36055011604","Census Tract 116.04, Monroe County, New York","1201","1201","1201","0","0","0"
"1400000US36055004100","Census Tract 41, Monroe County, New York","523","523","523","0","0","0"
"1400000US36119013900","Census Tract 139, Westchester County, New York","1897","1897","1897","0","0","0"
"1400000US36091060800","Census Tract 608, Saratoga County, New York","1925","0","0","0","1925","0"
"1400000US36005024000","Census Tract 240, Bronx County, New York","1398","1398","1398","0","0","0"
"1400000US36027640001","Census Tract 6400.01, Dutchess County, New York","0","0","0","0","0","0"
"1400000US36103147803","Census Tract 1478.03, Suffolk County, New York","1426","1426","1426","0","0","0"
"1400000US36081008600","Census Tract 86, Queens County, New York","953","953","953","0","0","0"
"1400000US36047046000","Census Tract 460, Kings County, New York","1323","1323","1323","0","0","0"
"1400000US36103158104","Census Tract 1581.04, Suffolk County, New York","1786","1786","1786","0","0","0"
"1400000US36103146106","Census Tract 1461.06, Suffolk County, New York","1090","1090","1090","0","0","0"
"1400000US36047051200","Census Tract 512, Kings County, New York","2376","2376","2376","0","0","0"
"1400000US36059405500","Census Tract 4055, Nassau County, New York","1784","1784","1784","0","0","0"
"1400000US36069050500","Census Tract 505, Ontario County, New York","2587","56","0","56","2531","0"
"1400000US36081079702","Census Tract 797.02, Queens County, New York","1694","1694","1694","0","0","0"
"1400000US36081077905","Census Tract 779.05, Queens County, New York","1206","1206","1206","0","0","0"
"1400000US36067012600","Census Tract 126, Onondaga County, New York","2360","2360","2360","0","0","0"
"1400000US36059405100","Census Tract 4051, Nassau County, New York","2289","2289","2289","0","0","0"
"1400000US36081042600","Census Tract 426, Queens County, New York","0","0","0","0","0","0"
"1400000US36063021400","Census Tract 214, Niagara County, New York","1056","1056","1056","0","0","0"
"1400000US36015010500","Census Tract 105, Chemung County, New York","1429","1429","1429","0","0","0"
"1400000US36047020200","Census Tract 202, Kings County, New York","820","820","820","0","0","0"
"1400000US36047016200","Census Tract 162, Kings County, New York","1146","1146","1146","0","0","0"
"1400000US36059300500","Census Tract 3005, Nassau County, New York","2005","2005","2005","0","0","0"
"1400000US36013035800","Census Tract 358, Chautauqua County, New York","1888","1888","0","1888","0","0"
"1400000US36061008800","Census Tract 88, New York County, New York","5619","5619","5619","0","0","0"
